Date,Game_Date_ISO,Time,Arena,Attendance,Game_Duration,Overtime,Away_Team_Name,Away_Score,Away_Team_Won,Away_Won_Binary,Away_eFG_PCT,Away_TOV_PCT,Away_ORB_PCT,Away_FT_Rate,Away_ORtg,Away_Opp_eFG_PCT,Away_Opp_TOV_PCT,Away_Opp_ORB_PCT,Away_Opp_FT_Rate,Away_Opp_ORtg,Home_Team_Name,Home_Score,Home_Team_Won,Home_Won_Binary,Home_eFG_PCT,Home_TOV_PCT,Home_ORB_PCT,Home_FT_Rate,Home_ORtg,Home_Opp_eFG_PCT,Home_Opp_TOV_PCT,Home_Opp_ORB_PCT,Home_Opp_FT_Rate,Home_Opp_ORtg,Game_Pace,Home_Point_Diff,eFG_PCT_Diff,TOV_PCT_Diff,ORB_PCT_Diff,FT_Rate_Diff,Box_Score_URL,Notes,Game_Date
2025-03-24,2025-03-24,8:00p,Smoothie King Center,"16,987",2:04,,Philadelphia 76ers,99,0,0,0.471,11.2,24.0,0.195,106.4,0.58,15.5,34.2,0.126,120.4,New Orleans Pelicans,112,1,1,0.58,15.5,34.2,0.126,120.4,0.471,11.2,24.0,0.195,106.4,93.0,13,0.10899999999999999,-4.300000000000001,10.200000000000003,-0.069,https://www.basketball-reference.com/boxscores/202503240NOP.html,,2025-03-24
2025-03-24,2025-03-24,9:00p,Ball Arena,"19,816",2:12,,Chicago Bulls,129,1,1,0.588,8.9,25.5,0.242,130.2,0.531,10.0,35.4,0.165,120.1,Denver Nuggets,119,0,0,0.531,10.0,35.4,0.165,120.1,0.588,8.9,25.5,0.242,130.2,99.1,-10,-0.05699999999999994,-1.0999999999999996,9.899999999999999,-0.07699999999999999,https://www.basketball-reference.com/boxscores/202503240DEN.html,,2025-03-24
2025-03-24,2025-03-24,10:00p,Footprint Center,"17,071",2:24,,Milwaukee Bucks,106,0,0,0.518,6.8,19.1,0.241,116.7,0.561,15.1,34.1,0.195,118.9,Phoenix Suns,108,1,1,0.561,15.1,34.1,0.195,118.9,0.518,6.8,19.1,0.241,116.7,90.8,2,0.04300000000000004,-8.3,15.0,-0.045999999999999985,https://www.basketball-reference.com/boxscores/202503240PHO.html,,2025-03-24
2025-03-24,2025-03-24,10:00p,Golden 1 Center,"15,855",2:11,,Boston Celtics,113,1,1,0.561,9.2,21.3,0.133,117.2,0.5,14.2,18.6,0.105,98.5,Sacramento Kings,95,0,0,0.5,14.2,18.6,0.105,98.5,0.561,9.2,21.3,0.133,117.2,96.4,-18,-0.061000000000000054,-5.0,-2.6999999999999993,-0.02800000000000001,https://www.basketball-reference.com/boxscores/202503240SAC.html,,2025-03-24
2025-03-25,2025-03-25,7:00p,Spectrum Center,"14,639",2:16,,Orlando Magic,111,1,1,0.528,10.1,30.2,0.178,116.6,0.5,10.2,17.8,0.182,109.2,Charlotte Hornets,104,0,0,0.5,10.2,17.8,0.182,109.2,0.528,10.1,30.2,0.178,116.6,95.2,-7,-0.028000000000000025,-0.09999999999999964,-12.399999999999999,0.0040000000000000036,https://www.basketball-reference.com/boxscores/202503250CHO.html,,2025-03-25
2025-03-25,2025-03-25,7:00p,Little Caesars Arena,"19,511",2:06,,San Antonio Spurs,96,0,0,0.44,9.9,29.6,0.176,104.6,0.66,11.0,19.4,0.244,132.9,Detroit Pistons,122,1,1,0.66,11.0,19.4,0.244,132.9,0.44,9.9,29.6,0.176,104.6,91.8,26,0.22000000000000003,-1.0999999999999996,-10.200000000000003,0.068,https://www.basketball-reference.com/boxscores/202503250DET.html,,2025-03-25
2025-03-25,2025-03-25,7:30p,Kaseya Center,"19,897",2:18,,Golden State Warriors,86,0,0,0.452,15.1,29.2,0.133,95.3,0.669,17.9,25.0,0.117,124.1,Miami Heat,112,1,1,0.669,17.9,25.0,0.117,124.1,0.452,15.1,29.2,0.133,95.3,90.3,26,0.21700000000000003,-2.799999999999999,-4.199999999999999,-0.016,https://www.basketball-reference.com/boxscores/202503250MIA.html,,2025-03-25
2025-03-25,2025-03-25,9:00p,Delta Center,"18,175",2:07,,Memphis Grizzlies,140,1,1,0.633,7.8,41.5,0.163,147.6,0.545,13.8,10.3,0.231,108.6,Utah Jazz,103,0,0,0.545,13.8,10.3,0.231,108.6,0.633,7.8,41.5,0.163,147.6,94.9,-37,-0.08799999999999997,-6.000000000000001,-31.2,0.068,https://www.basketball-reference.com/boxscores/202503250UTA.html,,2025-03-25
2025-03-25,2025-03-25,10:00p,Moda Center,"19,335",2:05,,Cleveland Cavaliers,122,1,1,0.614,12.8,25.7,0.159,126.6,0.485,8.4,37.3,0.14,115.2,Portland Trail Blazers,111,0,0,0.485,8.4,37.3,0.14,115.2,0.614,12.8,25.7,0.159,126.6,96.3,-11,-0.129,4.4,11.599999999999998,-0.01899999999999999,https://www.basketball-reference.com/boxscores/202503250POR.html,,2025-03-25
2025-03-25,2025-03-25,10:00p,Golden 1 Center,"16,060",2:17,,Oklahoma City Thunder,121,1,1,0.64,15.8,16.2,0.195,120.2,0.533,10.3,9.8,0.088,104.3,Sacramento Kings,105,0,0,0.533,10.3,9.8,0.088,104.3,0.64,15.8,16.2,0.195,120.2,100.7,-16,-0.10699999999999998,5.5,-6.399999999999999,-0.10700000000000001,https://www.basketball-reference.com/boxscores/202503250SAC.html,,2025-03-25
